e	638823	0.1022915
s	608862	0.097494
a	531306	0.08507535
i	522256	0.08362622
n	425831	0.06818617
o	419897	0.06723599
r	418742	0.06705104
t	380045	0.06085469
l	327710	0.05247455
c	248419	0.03977808
u	209265	0.03350855
d	187299	0.02999124
m	184323	0.02951471
p	182169	0.0291698
h	166449	0.02665264
'	147034	0.02354381
g	141526	0.02266184
b	113163	0.01812022
y	110096	0.01762912
f	65565	0.01049859
k	56958	0.0091204
v	56808	0.00909638
w	44154	0.00707016
z	19615	0.00314085
x	16912	0.00270803
j	11997	0.00192102
q	9899	0.00158508
